Код объекта,трассы,автомобильные мосты,Материал окон,Счетчик воды,гостевой паркинг,памятники архитектуры,культуры,пешеходные бульвары,Балкон,всего этажей,Серия,Стены,Адрес,Год постройки,Общая площадь,Высота потолков,Двор,Комнатность,подземный паркинг,Ремонт,цена
5422404,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,6,Инд,Монолитные,Кукковка,2014.0,33.0,2.5,открытый двор,1,0,Косметический ремонт,2600.0
5462604,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Голиковка,1972.0,51.2,2.5,открытый двор,3,0,Косметический ремонт,4300.0
5430466,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Панельные,Кукковка,1983.0,13.0,2.5,открытый двор,1,0,Современный ремонт,800.0
5444146,0,0,Пластиковые,отсутствует,0,0,0,0,Есть балкон,14,Инд,Кирпичные,Голиковка,1987.0,36.0,2.5,открытый двор,1,0,Частичный ремонт,2190.0
5470930,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Первомайский,1969.0,46.0,2.5,открытый двор,2,0,Косметический ремонт,2600.0
5456196,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Зарека,1992.0,58.0,2.5,открытый двор,1,0,Косметический ремонт,4184.0
5461880,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Октябрьский,1992.0,30.2,2.5,открытый двор,1,0,Современный ремонт,2300.0
5443861,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1992.0,74.9,2.5,открытый двор,4,0,Косметический ремонт,4550.0
5440021,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,2,Бреж,Кирпичные,Зарека,1951.0,56.0,2.5,открытый двор,3,0,Косметический ремонт,2920.0
5458087,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Кирпичные,Сулажгора,1990.0,13.0,2.5,открытый двор,1,0,Косметический ремонт,450.0
5417551,1,1,Пластиковые,есть,0,0,0,0,Есть балкон,14,Инд,Монолитные,Древлянка,1997.0,41.2,2.5,открытый двор,1,0,Косметический ремонт,3499.0
5422706,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,16,Инд,Монолитные,Древлянка,1997.0,51.0,2.52,открытый двор,1,0,Косметический ремонт,3640.0
5459572,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,2,Инд,Панельные,Голиковка,1992.0,25.0,2.5,открытый двор,1,0,Косметический ремонт,950.0
5425158,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,16,2-68-1-0,Панельные,Кукковка,1989.0,49.5,2.5,открытый двор,2,0,Косметический ремонт,3580.0
5464142,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Блочные,Ключевая,1996.0,54.0,2.5,открытый двор,2,0,Косметический ремонт,3630.0
5456584,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,4,75 ,Панельные,Древлянка,1990.0,68.7,2.5,закрытый двор,3,0,Современный ремонт,6500.0
5430228,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Монолитные,Кукковка,2018.0,78.6,2.5,открытый двор,3,0,Современный ремонт,6550.0
5433428,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,4,Инд,Кирпичные,Первомайский,1959.0,40.3,2.5,открытый двор,2,0,Косметический ремонт,2790.0
5449724,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Первомайский,1971.0,26.9,2.5,открытый двор,2,0,Косметический ремонт,1360.0
5436698,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Кирпичные,Голиковка,1967.0,42.9,2.5,открытый двор,2,0,Частичный ремонт,2400.0
5434402,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,1-335А,Блочные,Голиковка,1962.0,63.0,2.65,открытый двор,3,0,Косметический ремонт,3460.0
5425802,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Общ,Панельные,Кукковка,1983.0,19.6,2.5,открытый двор,1,0,Косметический ремонт,1020.0
5435680,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,4,Инд,Кирпичные,Первомайский,1958.0,48.5,3.05,открытый двор,2,0,Косметический ремонт,3100.0
5425469,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,3,Инд,Кирпичные,Первомайский,1952.0,51.8,2.5,открытый двор,1,0,Современный ремонт,2700.0
5443140,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Кирпичные,Октябрьский,2010.0,60.1,2.7,открытый двор,3,0,Современный ремонт,4600.0
5468038,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Панельные,Ключевая,1992.0,32.3,2.5,открытый двор,1,0,Косметический ремонт,1880.0
5426478,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Кукковка,1971.0,73.0,2.57,открытый двор,4,0,Косметический ремонт,4399.0
5372259,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Ключевая,1975.0,60.0,2.5,открытый двор,3,0,Косметический ремонт,4200.0
5368340,0,0,Деревянные,есть,0,0,0,0,Нет балкона,5,1-335,Панельные,Октябрьский,1966.0,42.0,2.5,открытый двор,2,0,Косметический ремонт,2350.0
5409269,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,10,Инд,Панельные,Древлянка,1993.0,38.0,2.5,открытый двор,1,0,Косметический ремонт,2500.0
5389563,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Монолитные,Древлянка,2016.0,40.0,2.5,открытый двор,2,0,Современный ремонт,3600.0
5389975,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Общ,Кирпичные,Сулажгора,1990.0,18.1,2.5,открытый двор,1,0,Косметический ремонт,670.0
5406701,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,18,Инд,Монолитные,Кукковка,2017.0,46.0,2.5,открытый двор,2,1,Косметический ремонт,3900.0
5409237,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,Инд,Кирпичные,Центр,1966.0,31.6,2.5,открытый двор,1,0,Косметический ремонт,2560.0
