Код объекта,Комнатность,Ремонт,Балкон,Материал окон,Серия,Год постройки,Стены,url,Адрес,наземный паркинг,гостевой паркинг,парковка отсутствует,подземный паркинг,гараж во дворе,парковка,Двор,Железная дверь,Счетчик воды,во двор,на детскую площадку,стены соседних домов,памятники архитектуры,культуры,пешеходные бульвары,дороги,трассы,автомобильные мосты,Высота потолков,Общая площадь,этаж,всего этажей,цена
5728110,1,Косметический ремонт,Есть балкон,Пластиковые,75 ,1992.0,Панельные,https://ptz.etagi.com//realty/5728110/,Птицефабрика,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,35.3,4,5,1500.0
5718559,8,Косметический ремонт,Есть балкон,Пластиковые,Инд,,Кирпичные,https://ptz.etagi.com//realty/5718559/,Перевалка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,12.9,1,5,550.0
5717967,3,Косметический ремонт,Есть балкон,Пластиковые,75 ,1990.0,Панельные,https://ptz.etagi.com//realty/5717967/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,65.0,8,9,3700.0
5712448,1,Косметический ремонт,Есть балкон,Пластиковые,Общ,1983.0,Кирпичные,https://ptz.etagi.com//realty/5712448/,Перевалка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,,12.0,4,5,530.0
5698833,2,Косметический ремонт,Есть балкон,Пластиковые,Инд,1989.0,Панельные,https://ptz.etagi.com//realty/5698833/,Ключевая,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,51.0,4,5,3000.0
5692770,2,Косметический ремонт,Есть балкон,Пластиковые,Инд,1993.0,Кирпичные,https://ptz.etagi.com//realty/5692770/,Голиковка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,48.7,5,5,3800.0
5713611,3,Частичный ремонт,Есть балкон,Пластиковые,Инд,2014.0,Кирпичные,https://ptz.etagi.com//realty/5713611/,10 кмс4,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,67.0,1,2,850.0
5700277,1,Косметический ремонт,Нет балкона,Пластиковые,Общ,1990.0,Панельные,https://ptz.etagi.com//realty/5700277/,Сулажгора,0,1,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,13.0,2,6,480.0
5712256,2,Косметический ремонт,Есть балкон,Пластиковые,75 ,2016.0,Панельные,https://ptz.etagi.com//realty/5712256/,Рыбка,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,49.0,2,3,3350.0
5706617,1,Косметический ремонт,Есть балкон,Пластиковые,Хрущ,1975.0,Панельные,https://ptz.etagi.com//realty/5706617/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,35.0,9,9,2690.0
5711870,1,Частичный ремонт,Есть балкон,Пластиковые,Инд,1975.0,Панельные,https://ptz.etagi.com//realty/5711870/,Новая Вилга п.,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,36.0,5,5,1400.0
5700524,2,Косметический ремонт,Есть балкон,Пластиковые,Инд,1965.0,Панельные,https://ptz.etagi.com//realty/5700524/,Центр,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,42.0,5,5,2800.0
5706130,2,Современный ремонт,Есть балкон,Пластиковые,Инд,2013.0,Панельные,https://ptz.etagi.com//realty/5706130/,Перевалка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.55,48.9,1,5,6105.0
5697221,3,Косметический ремонт,Есть балкон,Пластиковые,Инд,1975.0,Панельные,https://ptz.etagi.com//realty/5697221/,Ключевая,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,57.2,4,5,3380.0
